id,type,experiment,knowledge,difficulty,question,option_a,option_b,option_c,option_d,answer,blank_count,fill_hint,explanation,keywords,source
q024,fill,绪论,测量结果表达,2,测量结果完整表达格式为 Y = 𝑦̄ ± ______ (p=95%)。,,,,,U|U(y)|U_95,1.0,,Y=测得值±扩展不确定度，需注明包含概率。末位对齐规则,测量结果表达;扩展不确定度;末位对齐,PDF自编
q025,fill,绪论,最小二乘法,2,最小二乘法拟合直线y=kx+b，斜率k的不确定度u(k)=u(y)/______。,,,,,√[Σ(x_i-𝑥̄)²]|sqrt(Σ(x_i-𝑥̄)²)|根号Σ(x_i-𝑥̄)²,1.0,,u(y)为拟合残差的标准差，除以√[Σ(x_i-𝑥̄)²]得u(k),最小二乘法;斜率不确定度;u(k)公式,PDF自编
q026,choice,静态拉伸法测弹性模量,实验操作,1,"用螺旋测微器测量钢丝直径时,应在钢丝不同位置多次测量取平均值",对,错,,,A,,,"钢丝粗细可能不均匀,应多处测量",螺旋测微器;实验操作,自编
q027,choice,静态拉伸法测弹性模量,望远镜调焦,1,望远镜的调焦应先调物镜看清标尺像，再调目镜看清十字叉丝。,对,错,,,B,,,正确顺序：先调目镜看清十字叉丝，再调物镜看清标尺像。颠倒会导致叉丝和标尺无法同时清晰,望远镜调焦;目镜;物镜;操作顺序,PPTX适配
q028,choice,静态拉伸法测弹性模量,逐差法,2,拉伸法测杨氏模量实验中，用逐差法处理F-x数据比最小二乘法更精确。,对,错,,,B,,,拉伸法测杨氏模量要求用最小二乘法拟合F-x线性关系，最小二乘法用全部数据点且能给出不确定度评定；逐差法只用首尾数据，精度较低，仅在振幅法声速测量中允许使用（只需相对误差）。,逐差法;最小二乘法;精度对比;杨氏模量,PDF自编
q029,choice,静态拉伸法测弹性模量,实验原理,1,弹性模量的单位是?,N,N/m,Pa,N·m,C,,,"Pa(帕斯卡),即N/m^2",弹性模量;单位,自编
q030,choice,静态拉伸法测弹性模量,杨氏模量定义,1,杨氏模量Y的定义是：,A. 应力（单位面积受力）,B. 弹性阶段纵向应力与纵向应变之比,C. 应变（相对伸长）,D. 拉力除以截面积,B,,,Y=σ/ε=F·L/(S·ΔL)，是材料弹性形变时应力与应变的比值，Y越大材料越难形变,杨氏模量定义;应力;应变,PPTX适配
q031,choice,静态拉伸法测弹性模量,螺旋测微计,1,测量金属丝直径d（约0.6mm）应选用：,A. 游标卡尺（精度0.02mm）,B. 钢卷尺,C. 螺旋测微计（千分尺）,D. 光杠杆+望远镜,C,,,金属丝直径约0.6mm，要求精度达0.001mm，游标卡尺仅0.02mm精度不够，需螺旋测微计,螺旋测微计;直径测量;仪器选择,PPTX适配
q032,choice,静态拉伸法测弹性模量,光杠杆放大法,1,光杠杆在本实验中的主要作用是：,A. 放大拉力读数,B. 将微小长度变化放大为标尺位移,C. 测量金属丝直径,D. 测量标尺到镜面距离,B,,,光杠杆将金属丝微小伸长ΔL通过镜面反射放大为标尺位移Δx，放大倍数β=2D/b,光杠杆放大法;微小量测量,PPTX适配
q033,choice,静态拉伸法测弹性模量,最小二乘法,1,拉伸法测杨氏模量中，最小二乘法拟合的对象是：,A. 直径d与拉力F,B. 拉力F与标尺读数x,C. 光杠杆臂长b与标尺位移,D. 标尺读数与镜面距离D,B,,,最小二乘拟合的是拉力F与标尺读数x的线性关系，斜率k=8LD/(πd²bY),最小二乘法;F-x线性拟合,PPTX适配
q034,choice,静态拉伸法测弹性模量,实验原理,2,"在静态拉伸法实验中,若其他条件不变,只增加钢丝长度,则相同拉力下的伸长量?",不变,变大,变小,无法确定,B,,,"由ΔL=FL/(ES),L增加ΔL变大",胡克定律;伸长量,自编
q035,choice,静态拉伸法测弹性模量,不确定度传递,2,不确定度分析中，直径d的不确定度贡献较大的原因是：,A. d是直接测量量,B. u_r(d)本身很大,C. Y表达式中d的幂指数为-2，传递时贡献放大为(2·u_r(d))²,D. 直径测量次数太少,C,,,lnY中含-2ln d，灵敏系数为-2，传递到u_cr(Y)时项为(2·u_r(d))²，贡献放大了4倍,不确定度传递;灵敏系数;直径-2次幂,PPTX适配
q036,choice,静态拉伸法测弹性模量,不确定度优化,2,若要最有效地降低Y的不确定度，应优先：,A. 换更高精度螺旋测微计减小u_r(d),"B. 增加(F,x)测量组数以缩小u_r(k)",C. 增加光杠杆臂长b,D. 增大拉力范围,B,,,最小二乘拟合斜率k的ur贡献最大，增加测量组数n增大了√[Σ(x_i-𝑥̄)²]，从而缩小u(k),不确定度优化;测量组数;u(k),PPTX适配
q037,choice,静态拉伸法测弹性模量,不确定度传递,2,杨氏模量Y=8FLD/(πd²b·Δx)，σ(Y)/Y的合成公式中d的贡献项为：,A. (u(d)/d)²,B. (2·u(d)/d)²,C. 4·(u(d)/d)²,D. 2·u(d)/d,B,,,lnY中含-2ln d，灵敏系数为-2，传递项=(pu_r(d))²=(2u_r)²,不确定度传递;直径贡献;平方放大,PDF自编
q038,fill,静态拉伸法测弹性模量,杨氏模量定义,1,杨氏模量Y的定义式为Y = ______ / ______。,,,,,σ|应力||ε|应变,1.0,,Y=σ/ε=F·L/(S·ΔL)，单位Pa(N/m²),杨氏模量定义;应力应变比,PDF自编
q039,fill,静态拉伸法测弹性模量,螺旋测微计,1,测量金属丝直径d应使用______（仪器名）。,,,,,螺旋测微计|千分尺|螺旋测微器,1.0,,d≈0.6mm，需0.001mm精度，游标卡尺(0.02mm)不够,螺旋测微计;直径测量;仪器选择,PDF自编
q040,fill,静态拉伸法测弹性模量,光杠杆,2,"光杠杆放大倍数公式中,平面镜到标尺的距离用字母______表示",D,R,L,K,D|d,1.0,,"光杠杆放大倍数=2D/b,D为平面镜到标尺距离",光杠杆;放大倍数,自编
q041,fill,静态拉伸法测弹性模量,最小二乘法,2,本实验中最小二乘拟合的对象是______和______的线性关系。,,,,,拉力F|F||标尺读数x|x,1.0,,拟合x=kF+x₀，斜率k=8LD/(πd²bY)，由此求Y,最小二乘法;F-x拟合;斜率含义,PDF自编
q042,fill,静态拉伸法测弹性模量,灵敏系数,2,lnY表达式中d的幂指数为______，其灵敏系数绝对值为______。,,,,,-2||2,1.0,,lnY中含-2ln d，灵敏系数c_d=-2，传递时贡献(2u_r(d))²放大4倍,灵敏系数;间接传递;直径贡献大,PDF自编
q043,choice,直流电桥实验,误差分析,1,"电桥的灵敏度越高,测量误差越小",对,错,,,A,,,灵敏度高意味着微小的电阻不平衡就能被检测,电桥灵敏度,自编
q044,choice,直流电桥实验,电桥灵敏度,1,电桥灵敏度S越大，表示电桥对电阻变化的辨别能力越差。,对,错,,,B,,,S=Δn/(ΔR/R)，S越大说明微小电阻变化引起的检流计偏转越大，辨别能力越强,电桥灵敏度;辨别能力;正比关系,PPTX适配
q045,choice,直流电桥实验,电桥灵敏度,1,电桥的灵敏度与电源电压成正比，与桥臂总电阻成反比。,对,错,,,A,,,灵敏度S∝E·S_G/R总，提高电源电压和降低桥臂电阻均可提高灵敏度,电桥灵敏度;影响因素;电源电压,PDF自编
q046,choice,直流电桥实验,惠斯通电桥,1,"惠斯通电桥达到平衡时,四个桥臂电阻满足关系?",R1+R2=R3+R4,R1·R4=R2·R3,R1·R2=R3·R4,R1/R2=1,B,,,电桥平衡时对臂电阻乘积相等,惠斯通电桥;平衡条件,自编
q047,choice,直流电桥实验,惠斯通电桥,1,电桥平衡的标志是：,A. 电源电压为零,B. 电阻箱读数不变,C. 检流计指示为零（I_g=0）,D. 比率臂K=1,C,,,惠斯通电桥平衡条件：V_C=V_D即I_g=0，此时R1/R2=Rx/R0,惠斯通电桥;平衡条件;检流计,PPTX适配
q048,choice,直流电桥实验,交换法公式,1,交换法测Rx的计算公式为：,A. Rx=(R0+R0')/2,B. Rx=√(R0·R0'),C. Rx=R0·R0',D. Rx=R0/R0',B,,,交换后R1/R2=Rx/R0'，与原平衡R1/R2=R_x0/R0联合得Rx²=R0·R0',交换法公式;几何平均,PPTX适配
q049,choice,直流电桥实验,B类不确定度,1,电阻箱旋钮准确度等级引入的不确定度属于：,A. A类评定,B. 正态分布B类,C. B类评定，默认均匀分布k=√3,D. 不需评定,C,,,电阻箱准确度等级属B类评定，默认按均匀分布处理，包含因子k=√3,B类不确定度;电阻箱;均匀分布,PPTX适配
q050,choice,直流电桥实验,实验操作,2,"使用电桥测量电阻时,按下电源开关和检流计开关的正确顺序是?",先按检流计后按电源,先按电源后按检流计,同时按下,只按检流计即可,B,,,"先按电源使电路稳定,再按检流计观察指针",电桥操作;开关顺序,自编
q051,choice,直流电桥实验,交换法,2,交换法（换臂法）的主要目的是：,A. 提高电桥灵敏度,B. 消除比率臂R1/R2不准带来的系统误差,C. 简化测量步骤,D. 扩大测量范围,B,,,交换Rx和R0位置再测，Rx=√(R0·R0')，消去R1和R2的电阻箱误差,交换法;系统误差消除;几何平均,PPTX适配
q052,choice,直流电桥实验,箱式电桥,2,用箱式电桥(QJ23型)测电阻，应先按哪个开关？,A. 先按G(检流计)后按B(电源),B. 先按B(电源)后按G(检流计),C. 同时按下,D. 只按B即可,B,,,先按B使电路稳定再按G观察；断开时先放G后放B，避免电感感应损坏检流计,箱式电桥;开关顺序;先B后G,PDF自编
q053,fill,直流电桥实验,惠斯通电桥,1,惠斯通电桥平衡条件为R₁/R₂ = ______ / ______。,,,,,Rx||R₀|R0,1.0,,I_g=0时V_C=V_D，R₁/R₂=Rx/R₀，即对臂电阻乘积相等,惠斯通电桥;平衡条件;比例关系,PDF自编
q054,fill,直流电桥实验,实验原理,2,惠斯通电桥适用于测量阻值范围为______的电阻,中值电阻,中值,中等电阻,1-100kΩ,中值电阻|中值|中等电阻|1~100kΩ|1~10^5Ω|$1\sim10^5\Omega$,1.0,,惠斯通电桥适合测量中值电阻(1~10^5Ω),惠斯通电桥;测量范围,自编
q055,fill,直流电桥实验,交换法,2,交换法测电阻的计算公式为 Rx = ______。,,,,,√(R₀·R₀')|sqrt(R₀·R₀')|根号R₀R₀',1.0,,交换Rx和R₀位置得Rx²=R₀·R₀'，消去R₁/R₂的误差,交换法;几何平均;系统误差消除,PDF自编
q056,fill,直流电桥实验,电桥灵敏度,2,电桥灵敏度S=Δn/(______/______)。,,,,,ΔR|ΔR₀||R|R₀,1.0,,S=Δn/(ΔR/R)，S越大相同电阻变化引起的检流计偏转越大,电桥灵敏度;定义公式;ΔR/R,PDF自编
q057,fill,直流电桥实验,电桥灵敏度,2,电桥灵敏度在比率臂K=______时最高。,,,,,1|1:1,1.0,,K=R₁/R₂，K=1时对称电桥灵敏度最大,电桥灵敏度;最佳比率;K=1,PDF自编
q058,fill,直流电桥实验,惠斯通电桥,2,惠斯通电桥适合测量______电阻（约1~10^5Ω），而测量低值电阻（<1Ω）需用______电桥。,,,,,低值|低|小|小电阻||开尔文,1.0,,惠斯通电桥因引线电阻和接触电阻影响，测量低值电阻误差很大。开尔文双臂电桥通过四端接法消除引线/接触电阻，适合测低值电阻。,惠斯通电桥;开尔文电桥;双臂电桥;低值电阻;中值电阻,PDF自编
q059,choice,示波器原理及应用,触发,1,"正确触发后,示波器屏幕上的波形应该是稳定不移动的",对,错,,,A,,,触发的目的就是使波形稳定显示,触发;稳定性,自编
q060,choice,示波器原理及应用,李萨如图形,1,李萨如图形水平/垂直方向切点数比值等于两信号频率比f_y/f_x=N_x/N_y。,对,错,,,A,,,水平方向切点数N_x与垂直方向切点数N_y之比等于两信号频率的反比,李萨如图形;频率比;切点数,PPTX适配
q061,choice,示波器原理及应用,波形显示,1,示波器中使光点从左到右匀速运动的信号来自?,X轴偏转板,Y轴偏转板,触发电路,电源,A,,,X轴加锯齿波扫描信号使光点水平扫描,示波器;锯齿波,自编
q062,choice,示波器原理及应用,数字示波器,1,数字示波器的带宽、采样率、存储深度分别决定了：,A. 可测电压范围、刷新率、功耗,B. 可测信号频率范围、时间分辨率、可记录波形长度,C. 通道数、触发灵敏度、屏幕尺寸,D. 幅度精度、相位精度、频率精度,B,,,三大参数：带宽决定频率上限，采样率决定时间细分能力，存储深度=采样率×记录时间,数字示波器;带宽;采样率;存储深度,PPTX适配
q063,choice,示波器原理及应用,李萨如图形,1,观察李萨如图形应选用示波器的：,A. Y-T模式（普通扫描模式）,B. X-Y模式,C. 单次触发模式,D. 峰值检测模式,B,,,李萨如图形需X-Y模式：CH1接X轴、CH2接Y轴，两正弦信号合成封闭图形,李萨如图形;X-Y模式,PPTX适配
q064,choice,示波器原理及应用,数字示波器,1,数字示波器相对于模拟示波器的核心优势是：,A. 价格更低,B. 采集和存储波形，可事后回放、测量与分析,C. 不需要探头,D. 不需要校准,B,,,数字示波器通过ADC将波形数字化存储，支持事后回放、缩放、光标测量等分析功能,数字示波器;波形存储;回放分析,PPTX适配
q065,choice,示波器原理及应用,示波器,1,"示波器触发模式设为""单次触发(Single)""，最适合捕获：",A. 周期性信号,B. 交流信号,C. 偶发的瞬态信号,D. 直流信号,C,,,Single触发捕获一个波形后停止，适合非周期偶发信号,示波器;单次触发;瞬态捕获,OCR修正
q066,choice,示波器原理及应用,测量原理,2,"用示波器测量交流电压时,若波形在Y方向占4格,Y轴灵敏度为2V/div,则电压峰峰值为?",2V,4V,8V,16V,C,,,Vpp=格数×V/div=4×2=8V,电压测量;峰峰值,自编
q067,choice,示波器原理及应用,示波器探头,2,示波器探头选择10×衰减时，下列哪种说法正确？,A. 输入信号被放大10倍,B. 探头带宽降低为原来的1/10,C. 输入阻抗提高10倍，对被测电路负载效应减小,D. 只适用于直流信号,C,,,10×探头衰减信号幅度10倍，但输入阻抗提高10倍(通常从1MΩ→10MΩ)，减小了对被测电路的负载效应，适合高频和微弱信号测量。带宽通常与探头类型有关，10×探头带宽一般不低于1×探头。,示波器探头;衰减;输入阻抗;负载效应,PDF自编
q068,fill,示波器原理及应用,数字示波器,1,数字示波器三大关键参数是______、______和存储深度。,,,,,带宽||采样率,1.0,,带宽决定频率上限，采样率决定时间分辨率，存储深度=采样率×记录时间,数字示波器;三参数;带宽;采样率,PDF自编
q069,fill,示波器原理及应用,李萨如图形,1,观察李萨如图形时示波器应置于______模式。,,,,,X-Y|XY,1.0,,CH1接X轴、CH2接Y轴，两正弦信号合成封闭图形,李萨如图形;X-Y模式,PDF自编
q070,fill,示波器原理及应用,李萨如图形,2,李萨如图形法测频率比公式为 f_y/f_x = ______/______。,,,,,N_x|水平切点数||N_y|垂直切点数,1.0,,水平切点数N_x与垂直切点数N_y之比等于两信号频率的反比,李萨如图形;频率比;切点数,PDF自编
q071,fill,示波器原理及应用,触发模式,2,单次触发(Single)模式最适合捕获______信号。,,,,,偶发瞬态|瞬态|偶发|脉冲,1.0,,Single触发捕获一次就停止，适合非周期性、偶发的瞬态信号,触发模式;单次触发;瞬态信号,PDF自编
q072,fill,示波器原理及应用,触发耦合,2,示波器触发耦合方式中，______耦合滤除直流分量仅对交流成分触发，______耦合直接使用信号所有频率成分触发。,,,,,交流|AC||直流|DC,1.0,,AC耦合通过电容隔离直流分量，仅对交变成分触发；DC耦合保留直流电平，对全信号触发。还有HF Reject（高频抑制）和LF Reject（低频抑制）等模式。,触发耦合;AC耦合;DC耦合;示波器,PDF自编
q073,choice,分光计调整及使用,实验操作,1,"调整望远镜时,应先使望远镜对无穷远聚焦",对,错,,,A,,,望远镜需对无穷远聚焦才能观察平行光,望远镜;聚焦,自编
q074,choice,分光计调整及使用,分光计,1,分光计使用两个对称游标取平均值，可消除刻度盘偏心差。,对,错,,,A,,,两个游标相差180°放置，取平均值可消除度盘中心与转轴不重合引起的偏心误差,分光计;双游标;偏心差消除,PPTX适配
q075,choice,分光计调整及使用,分半调节法,1,"分光计""分半调节法""的目的是使望远镜光轴与分光计主轴垂直。",对,错,,,A,,,分半调节法(半调法)利用双面镜的两次反射，将偏差半分，逐步趋近垂直,分半调节法;望远镜垂直调节,PDF自编
q076,choice,分光计调整及使用,仪器调整,1,分光计调整的三个主要步骤是?,调平、聚焦、对准,望远镜调焦、平行光管调焦、载物台调平,粗调、望远镜调节、平行光管调节,对准、测量、读数,C,,,"分光计调整分粗调和精调,精调包括望远镜和平行光管调节",分光计;调整步骤,自编
q077,choice,分光计调整及使用,分光计,1,分光计的核心功能是：,A. 测量折射率,B. 测量光波波长,C. 精密测量光线偏转角度,D. 测量透镜焦距,C,,,分光计通过度盘+游标精确测量光线偏转角，折射率、波长等均通过角度换算得到,分光计;角度测量;核心功能,PPTX适配
q078,choice,分光计调整及使用,分光计,1,下列哪项不是分光计的调节目标？,A. 望远镜对无穷远聚焦,B. 平行光管出射平行光,C. 望远镜光轴与分光计主轴垂直,D. 精确测量棱镜顶角,D,,,A/B/C是分光计三项标准调节目标。测量棱镜顶角是实验目的而非仪器调节目标,分光计;调节目标;三垂直,PPTX适配
q079,choice,分光计调整及使用,自准直法,1,自准直法测三棱镜顶角α的计算公式为：,A. α=(θ_左-θ_右)/2,B. α=θ_左+θ_右,C. α=180°-|θ_I-θ_II|,D. α=|θ_I+θ_II|,C,,,望远镜分别对准棱镜两面自准直，两面法线夹角=180°-α，顶角α=180°-|θ_I-θ_II|,自准直法;三棱镜顶角;公式,PPTX适配
q080,choice,分光计调整及使用,自准直法,1,自准直法测三棱镜顶角，望远镜与棱镜两光学面垂直时角度为θ₁、θ₂，顶角α=？,A. α=180°-|θ₁+θ₂|,B. α=180°-|θ₁-θ₂|,C. α=|θ₁-θ₂|/2,D. α=|θ₁+θ₂|/2,B,,,两法线夹角=180°-α，α=180°-|θ₁-θ₂|，真题修正,自准直法;顶角;180°-|θ₁-θ₂|,OCR修正
q081,choice,分光计调整及使用,角度测量,2,"使用分光计时,在两个游标上都读数是为了?",提高精度,消除视差,消除偏心差,便于读数,C,,,双游标读数可消除刻度盘中心与仪器中心不重合引起的偏心差,分光计;偏心差,自编
q082,choice,分光计调整及使用,最小偏向角,2,最小偏向角的定义是：,A. 出射角最小时的偏向角,B. 入射角最小时的偏向角,C. 出射光方向偏离入射光方向最小的角度,D. 三棱镜顶角的两倍,C,,,最小偏向角出现在光线对称入射出射时(i₁=i₄)，定义即为偏向角的最小值,最小偏向角;定义;对称条件,OCR修正
q083,fill,分光计调整及使用,自准直法,1,自准直法测三棱镜顶角公式为 α = 180° − ______。,,,,,|θ_I−θ_II|||θ₁−θ₂|,1.0,,望远镜分别对准棱镜两面自准直，两法线夹角=180°−α,自准直法;顶角公式;180°-|θ₁-θ₂|,PDF自编
q084,fill,分光计调整及使用,分光计,1,分光计的三项标准调节目标为：望远镜聚焦无穷远且______主轴、载物台______主轴、平行光管出射平行光且______主轴。,,,,,垂直||垂直||垂直,1.0,,"分光计""三垂直""是正确工作状态的前提",分光计;三垂直;调节目标,PDF自编
q085,fill,分光计调整及使用,分光计,1,分光计两个读数游标相差______度放置，取平均值可消除______差。,,,,,180||偏心,1.0,,双游标消除度盘中心与转轴不重合引起的偏心误差,分光计;双游标;180°;偏心差,PDF自编
q086,fill,分光计调整及使用,角度计算,2,"分光计的最小刻度通常为 1 角分,其精度可达______度",1/60,1,0.1,0.01,1/60|0.017|约0.017|1/60度|$1/60$,1.0,,"1角分=1/60度,精度约0.017度",角度;精度,自编
q087,fill,分光计调整及使用,分光计,2,分光计度盘上主尺最小刻度为30'（角分），游标为30等分，则分光计可精确读到______。,,,,,1'|1角分|1分,1.0,,游标分度值=主尺最小分度/游标等分数=30'/30=1'。分光计的读数=主尺读数+游标对齐线对应的角分。双游标(相隔180°)取平均消除偏心差。,分光计;度盘;游标;读数精度;1角分,PDF自编
q088,choice,三线摆测转动惯量,三线摆,1,三线摆要求摆角小于5°是为满足简谐振动近似条件(sinθ≈θ)。,对,错,,,A,,,sinθ≈θ在θ<5°时偏差<0.13%，满足简谐振动周期公式的推导条件,三线摆;小角度条件;sinθ≈θ,PPTX适配
